#no ix-loc:i ix-1p think ix-1p think boat boat boat concept vehicle concept boat concept vehicle concept vehicle concept vehicle concept vehicle concept vehicle boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat boat concept boat concept boat concept boat concept boat concept boat concept boat concept boat boat boat concept boat boat boat boat vehicle boat vehicle boat wave ix-3p:i wave wave wave concept wave wave wave wave wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept wave concept
mother ix-loc:i who who who disregard ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i ix-3p:i ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i who who buy who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy ix-3p:i ix-3p:i who who buy who buy who buy ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
teach+agent ix-loc:i none/nothing break-down vegetable+agent vegetable+agent break-down blue+berry blue+berry blue+berry vegetable+agent ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
who ix-loc:i like like chocolate chocolate ix-3p:j ix-3p:i ix-3p:i qmwg qmwg qmwg ix-3p:i want not who ix-3p:i want not who not who not who water want not who who want not who water want want want who who want who who want who want want want want want want want want want who who who who who who who who who who want who want want want want want want who who who who who who want want want want want want who who who who who who want want want want want want who who who who want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want want
teach+agent ix-loc:i not not vegetable+agent vegetable+agent vegetable+agent ix-3p:j work ix-3p:i teach+agent ix-3p:i wave wave ix-3p:i ix-loc:i wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave wave
teach+agent ix-loc:i ix-loc:i ix-loc:i chocolate chocolate chocolate work work none/nothing house water vehicle vehicle vehicle no no no no no water no no no no no no no no no no no no no no no no no no no no no no no no no over no water no no over no water no over no over no water no over no over no over no over no over no over no over no over no over no over no over no over over over over over water over over over water over over over over over over over over over over over over over over over water over over water over over over over water over over over over water over over over over over over over over over over over water water water water water water over over water water water over over water water over over water water water over over water water water over over water water water over over water water water over over water water water over over water water water over over water water over over water water over over water water over over water water over over water water water over over water water over over water water over over water water over over water water over water over water over water over water water water water water water water water water water water water water water water water water water water water water water water water water water water water
teach+agent ix-loc:i buy like chocolate ix-3p:i class_2+box/room ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i know ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i know ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i in ix-3p:i in ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
father ix-loc:i not like chocolate chocolate blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry buoy blue+berry blue+berry blue+berry buoy blue+berry buoy blue+berry blue+berry blue+berry buoy blue+berry blue+berry blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry buoy blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry blue+berry
teach+agent ix-loc:i vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent vegetable+agent
john ix-loc:i ix-loc:i who blue+berry ix-3p:j ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave vehicle wave ix-loc:i wave ix-loc:i wave ix-loc:i wave ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i ix-loc:i wave ix-loc:i ix-loc:i ix-loc:i ix-loc:i vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle ix-loc:i vehicle vehicle vehicle vehicle vehicle ix-loc:i vehicle vehicle vehicle vehicle vehicle vehicle vehicle vehicle
teach+agent ix-loc:i ix-loc:i movie movie movie ix-3p:i really ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-loc:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
mother ix-loc:i who who who who ix-3p:i who ix-3p:i who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who who ix-3p:i who ix-3p:i who ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i ix-3p:i
